INDEX,Rank,Institution Name,Country,Classification,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,International Research Network,,Employment Outcomes,,Sustainability,,Overall Score,Web Links
131,131,University of Basel,Switzerland,Medium,Full Comprehensive,Very High,26.6,331,13.5,601+,61.4,232,94.5,53,100,44,85.8,147,89.4,176,69.9,160,44.6,343,54.3,https://www.unibas.ch/en.html
132,132,Sapienza University of Rome,Italy,Extra Large,Full Comprehensive,Very High,80.7,70,48.5,189,5,701+,45.3,305,3.1,701+,8,701+,97.1,41,88,87,72.3,205,54.2,https://www.uniroma1.it/en
133,133,Alma Mater Studiorum - University of Bologna,Italy,Extra Large,Full Comprehensive,Very High,80.8,69,47.8,194,3.7,701+,46.6,296,14.5,672,12.3,672,96,56,53.8,232,88.4,108,54.1,https://www.unibo.it/en
134,133,Macquarie University,Australia,Large,Full Comprehensive,Very High,33.4,262,39.2,241,9.1,701+,79.6,111,99.9,88,91.6,112,90.9,157,54.1,231,95,57,54.1,https://www.mq.edu.au/
135,133,University of Science and Technology of China,China (Mainland),Large,Comprehensive,Very High,50,162,23.7,402,94.7,63,97.7,38,11.6,701+,5.1,701+,75.7,393,31.9,395,11.9,622,54.1,https://en.ustc.edu.cn/
136,136,Eindhoven University of Technology,Netherlands,Medium,Focused,Very High,28.7,306,72.1,96,35.7,442,79.3,114,100,75,82.7,164,70.8,472,24.2,468,29.8,445,54,https://www.tue.nl/en/
137,137,University of Vienna,Austria,Extra Large,Full Comprehensive,Very High,70.9,89,40.4,235,23.2,619,13,667,100,70,92,109,96,57,89.7,78,60.9,265,53.9,https://www.univie.ac.at/en
138,138,Universiti Kebangsaan Malaysia (UKM),Malaysia,Large,Full Comprehensive,Very High,61.7,113,66.4,114,80.4,132,14.1,651,45.7,392,78.8,175,83.7,269,22.5,510,64.4,243,53.8,https://www.ukm.my/
139,139,Chalmers University of Technology,Sweden,Medium,Focused,Very High,26.3,338,50.4,177,50.5,306,77.4,125,100,56,63.1,240,77,378,31.7,399,87,113,53.7,https://www.chalmers.se/en/
140,139,Universidad de Chile,Chile,Extra Large,Full Comprehensive,Very High,82.8,63,90,52,8,701+,11.2,701+,8.5,701+,4.5,701+,77.1,377,96.1,42,64.1,245,53.7,https://www.uchile.cl/
141,141,Lancaster University,United Kingdom,Large,Full Comprehensive,Very High,38.9,222,36.7,255,27.7,551,69.6,157,93.3,166,92.3,105,89.7,171,28.8,431,96.2,44,53.6,https://www.lancaster.ac.uk/
142,141,Leiden University,Netherlands,Extra Large,Full Comprehensive,Very High,68.4,95,32.9,288,21.3,649,54.5,234,85,220,51.7,284,95.2,72,48.8,263,25.5,488,53.6,https://www.universiteitleiden.nl/en
143,141,Rice University,United States,Medium,Comprehensive,Very High,39.1,220,27.3,350,62.5,222,87.9,83,77.5,247,94.1,99,62.2,602,29.5,421,20.6,529,53.6,https://www.rice.edu/
144,144,Aarhus University,Denmark,Large,Full Comprehensive,Very High,54.7,144,27.6,349,30.8,509,63.8,177,89.8,192,11.9,682,96.1,54,69.5,162,76.4,176,53.3,https://www.au.dk/en/
145,145,Nanjing University,China (Mainland),Extra Large,Full Comprehensive,Very High,57.1,135,32.5,290,35.6,443,93,63,61.9,317,7.6,701+,67.1,520,29,430,16.5,567,53,http://www.nju.edu.cn/
146,146,Universiti Sains Malaysia (USM),Malaysia,Large,Full Comprehensive,Very High,63.3,106,69.7,103,46.4,331,19.6,560,24.3,545,96.4,87,87.8,200,20.1,561,71.2,214,52.7,https://www.usm.my/
147,147,Technische Universität Berlin (TU Berlin),Germany,Large,Comprehensive,Very High,55.3,142,74.3,88,58,252,22.1,530,63.2,311,74.8,187,86.1,232,37.7,341,35.4,400,52.5,https://www.tu.berlin/
148,148,Universiti Putra Malaysia (UPM),Malaysia,Large,Full Comprehensive,Very High,61,118,61.9,131,58.8,250,25.7,490,36.1,441,92,108,80.5,314,17.5,607,53.5,295,52.3,https://www.upm.edu.my/
149,149,King Abdulaziz University (KAU),Saudi Arabia,Extra Large,Full Comprehensive,Very High,59.8,125,61.4,133,41.6,374,34.4,387,89.3,195,9.5,701+,93.1,118,35.9,353,58.4,275,52.2,https://www.kau.edu.sa/
150,150,Indian Institute of Technology Delhi (IITD),India,Medium,Focused,Very High,54.1,147,80.9,73,17.3,701+,77.4,126,3.1,701+,1.5,701+,63.3,582,35.1,361,32.7,424,52.1,https://www.iitd.ac.in/
151,150,University of Bath,United Kingdom,Large,Comprehensive,Very High,35.8,245,67.9,109,18.3,701+,52,250,94.3,159,80,171,84.2,259,35.2,360,90.4,92,52.1,https://www.bath.ac.uk/
152,152,Michigan State University,United States,Extra Large,Full Comprehensive,Very High,59.5,127,48.6,188,11.4,701+,50.3,259,54.5,344,12.4,668,97.5,32,57.1,211,96.3,41,51.9,https://msu.edu/
153,152,Nagoya University,Japan,Large,Full Comprehensive,Very High,63.2,108,65.8,117,84.7,107,25.4,494,14.5,671,19.6,550,64.8,559,21.5,533,75,186,51.9,https://en.nagoya-u.ac.jp/
154,154,Texas A&M University,United States,Extra Large,Full Comprehensive,Very High,61.2,116,66,115,4.4,701+,64.3,176,21.9,569,12.1,678,92.6,125,44.4,287,39.5,371,51.8,https://www.tamu.edu/
155,155,University of Geneva,Switzerland,Large,Full Comprehensive,Very High,45.5,183,17.2,499,40.4,387,62.4,189,100,51,97.6,74,94.2,93,49.5,258,42.3,355,51.6,https://www.unige.ch/en/
156,155,"University of North Carolina, Chapel Hill",United States,Extra Large,Full Comprehensive,Very High,61.4,114,36.5,258,72.9,179,47.2,288,23.5,555,11.1,696,91.6,147,55.2,225,44.6,343,51.6,https://www.unc.edu/
157,155,Wageningen University & Research,Netherlands,Large,Comprehensive,Very High,42.1,204,23.8,401,98.6,43,41.3,336,59.4,328,81.2,169,97.9,27,21.1,542,92.3,75,51.6,https://www.wur.nl/en.htm
158,158,Erasmus University Rotterdam ,Netherlands,Large,Focused,Very High,37,233,58.2,139,18.1,701+,63.3,182,76,256,70,211,85.4,240,89.3,80,28.7,455,51.5,https://www.eur.nl/en
159,159,Université de Montréal ,Canada,Extra Large,Full Comprehensive,Very High,55.5,140,32.8,289,76,160,19.3,566,87.6,205,54.1,273,84.9,247,54.2,229,91.4,81,51.3,https://www.umontreal.ca/
160,159,University of Groningen,Netherlands,Extra Large,Full Comprehensive,Very High,52.3,156,34.4,275,49.3,318,41.2,339,93.2,168,83.5,161,94.1,97,40,319,40.1,368,51.3,https://www.rug.nl/
161,161,University of Bern,Switzerland,Medium,Focused,Very High,29.7,298,16.1,530,45.9,338,99.3,22,100,48,38,370,93.8,103,30.7,410,52.1,305,51.2,https://www.unibe.ch/
162,162,Hanyang University,South Korea,Large,Full Comprehensive,Very High,43,199,78,81,77.1,153,28.5,458,17.4,636,57.6,257,63,584,43.3,295,85.8,121,51.1,https://www.hanyang.ac.kr/
163,163,Al-Farabi Kazakh National University,Kazakhstan,Large,Full Comprehensive,High,54.2,146,79.6,77,99.3,33,1.4,701+,49,370,54.2,272,64.7,561,59.6,206,29.8,445,51,https://www.kaznu.kz/en/
164,164,Complutense University of Madrid,Spain,Extra Large,Full Comprehensive,Very High,68.1,98,68.1,106,28.7,538,7.9,701+,10.5,701+,34.3,395,91.8,139,96.3,41,88.9,103,50.9,https://www.ucm.es/
165,165,Universitat de Barcelona,Spain,Extra Large,Full Comprehensive,Very High,73.7,85,30.3,312,12.4,701+,38.1,364,23.1,559,26.3,461,96.8,44,71.5,153,92.2,76,50.7,https://www.ub.edu/
166,165,University of Liverpool,United Kingdom,Large,Full Comprehensive,Very High,46.1,176,39.4,239,37.8,422,36.6,373,88.3,203,85.4,150,97.2,38,36.3,351,95.6,50,50.7,https://www.liverpool.ac.uk/
167,167,Kyushu University,Japan,Large,Full Comprehensive,Very High,58.3,133,66.5,113,78.4,149,27.9,466,18.7,613,14.1,640,69.9,488,15.1,657,77.6,170,50.3,https://www.kyushu-u.ac.jp/en/
168,167,University of Wollongong,Australia,Large,Full Comprehensive,Very High,29.5,300,24.5,393,17,701+,94.6,52,91.8,178,56.3,265,89,185,18.3,596,93.9,62,50.3,https://www.uow.edu.au/
169,169,Ghent University,Belgium,Extra Large,Full Comprehensive,Very High,53.2,150,24.8,384,78.5,148,21.5,538,79.7,241,21.4,522,99.5,9,72.9,145,98.3,21,50.1,https://www.ugent.be/en
170,169,The University of Exeter,United Kingdom,Large,Full Comprehensive,Very High,42.9,200,45,203,30.2,518,42.5,324,91,187,72.2,202,95.1,74,30.1,417,97.1,30,50.1,https://www.exeter.ac.uk/
171,171,University of Cape Town,South Africa,Large,Full Comprehensive,Very High,45.2,185,51.8,170,13.8,701+,46.8,294,56.5,335,19.2,563,97.3,36,95.8,46,95.6,50,50,https://www.uct.ac.za/
172,172,University of Reading,United Kingdom,Large,Comprehensive,Very High,32.2,273,41.7,226,13.1,701+,65.7,169,86.2,214,78.6,177,91.7,142,47.8,268,94,61,49.9,https://www.reading.ac.uk/
173,173,Hokkaido University,Japan,Large,Full Comprehensive,Very High,59,128,63.3,125,76.2,158,26,485,18.7,613,12.1,677,77.7,365,15.5,645,78.1,168,49.8,https://www.global.hokudai.ac.jp/
174,174,Curtin University,Australia,Large,Comprehensive,Very High,33.1,266,27.7,348,15.7,701+,84.7,95,100,49,24.3,485,94.2,96,31,405,90.7,89,49.3,https://www.curtin.edu.au/
175,175,Universitat Autònoma de Barcelona,Spain,Extra Large,Full Comprehensive,Very High,64,105,35.8,263,11.5,701+,59.5,206,18.5,620,16.5,595,93.1,116,24,472,86.7,114,49.2,https://www.uab.cat/web/
176,176,McMaster University,Canada,Large,Full Comprehensive,Very High,39.5,215,34.2,276,63.8,215,35.6,380,96.2,136,56.7,263,82.6,284,49.9,255,91.9,78,49,https://www.mcmaster.ca/
177,171,Washington University in St. Louis,United States,Large,Full Comprehensive,Very High,36.3,241,12,601+,99.7,29,47.7,283,85.4,220,72.4,201,83.6,270,31.9,396,86.7,114,49.9,https://wustl.edu/
178,178,"University of California, Santa Barbara (UCSB)",United States,Large,Comprehensive,Very High,52.6,154,21.3,432,7.7,701+,97.8,37,75.4,261,17.2,583,71.2,466,7.9,701+,28.4,456,48.9,https://www.ucsb.edu/
179,179,"The University of Newcastle, Australia (UON)",Australia,Large,Full Comprehensive,Very High,28.3,312,24.5,392,28.7,537,91.7,70,99.9,89,24.2,487,82,289,14.8,670,92.4,74,48.7,https://www.newcastle.edu.au/
180,179,Universidad de los Andes,Colombia,Large,Full Comprehensive,High,67.7,100,88.4,54,14.2,701+,5.9,701+,22.8,560,1.9,701+,55.2,692,98.2,26,80,155,48.7,https://uniandes.edu.co/
181,181,Universiti Teknologi Malaysia ,Malaysia,Large,Comprehensive,Very High,48.6,166,59.6,134,46,337,40.5,347,14.1,683,86.9,142,82.9,279,18,600,52.1,305,48.5,https://www.utm.my/
182,181,Waseda University,Japan,Extra Large,Comprehensive,Very High,60.7,122,96.1,30,23.5,616,3.8,701+,27.9,507,28,445,66.4,533,83.7,106,56.1,282,48.5,https://www.waseda.jp/top/en/
183,183,Hamad Bin Khalifa University,Qatar,Small,Focused,Very High,12.9,601+,4.7,601+,99.9,20,100,8,100,9,100,10,74.3,417,6,701+,2.6,701+,48.3,https://www.hbku.edu.qa/
184,184,University of York,United Kingdom,Large,Full Comprehensive,Very High,42.9,201,30.1,313,43,364,40.1,353,87.8,204,75.6,184,92.5,128,23.5,480,97.4,29,48.2,https://www.york.ac.uk/
185,185,Tecnológico de Monterrey,Mexico,Extra Large,Full Comprehensive,High,53.8,149,91.4,47,62.5,223,2.4,701+,20.8,589,10.6,701+,56.6,670,96.1,43,54.4,291,48.1,https://tec.mx/en
186,186,Cardiff University,United Kingdom,Large,Full Comprehensive,Very High,46.8,171,43.2,213,36.1,441,30,437,82.8,229,67.7,219,92.3,132,18.9,584,96,46,47.6,https://www.cardiff.ac.uk/
187,187,École Normale Supérieure de Lyon,France,Small,Comprehensive,Very High,29.8,296,16.3,522,97,49,93.5,59,59,329,11.7,684,70.3,482,14,694,6.6,701+,47.5,https://www.ens-lyon.fr/en
188,188,Keio University,Japan,Extra Large,Full Comprehensive,Very High,53,151,91.6,46,57.2,257,5.1,701+,9.4,701+,10.2,701+,57.5,658,91.4,69,59,271,47.4,https://www.keio.ac.jp/en/
189,189,University of Ottawa,Canada,Extra Large,Full Comprehensive,Very High,26.2,340,23.3,406,3.5,701+,81.3,106,91.7,179,77.8,181,93,119,39.8,323,92.9,72,47.3,https://www.uottawa.ca/en
190,190,Technische Universität Wien,Austria,Medium,Focused,Very High,33.9,258,50.4,178,12.5,701+,73.8,139,85.5,218,90.4,120,71.6,457,19.1,577,11.3,636,47.2,https://www.tuwien.at/en/
191,191,Universität Hamburg,Germany,Large,Focused,Very High,50.7,159,35.7,264,16.5,701+,54.7,233,40.2,418,20.4,532,93.4,109,42.8,300,90.6,91,47.1,https://www.uni-hamburg.de/en.html
192,192,Tongji University,China (Mainland),Extra Large,Full Comprehensive,Very High,31.8,276,16.9,508,29.1,533,96.9,44,54.5,345,26.5,457,72.9,442,24,473,81.4,147,46.9,http://www.tongji.edu.cn/english/
193,193,Queen's University at Kingston,Canada,Large,Full Comprehensive,Very High,40.8,209,56.7,144,5.4,701+,42.6,322,69.2,287,26.6,456,71.2,467,87.1,93,93.8,64,46.8,https://www.queensu.ca/
194,194,University of Gothenburg,Sweden,Large,Full Comprehensive,Very High,35.4,247,18.3,481,60.9,235,33.6,394,90,191,78.2,180,94.2,91,63.1,189,92.8,73,46.7,https://www.gu.se/en
195,194,Wuhan University,China (Mainland),Extra Large,Full Comprehensive,Very High,39.2,218,40.5,233,14,701+,91.9,69,39.2,423,4.9,701+,78.2,356,46.5,275,22.2,513,46.7,http://en.whu.edu.cn/
196,196,Emory University,United States,Large,Full Comprehensive,Very High,25.2,349,19,469,93.8,70,78.4,120,52.2,355,33.9,399,85.6,237,22.8,502,37,391,46.6,https://www.emory.edu/
197,197,Deakin University,Australia,Extra Large,Full Comprehensive,Very High,31.3,282,23.9,400,4.6,701+,73.6,140,96.4,135,63.8,236,82.7,280,36.8,347,93.7,66,46.4,https://www.deakin.edu.au/
198,198,Universidad Autónoma de Madrid,Spain,Extra Large,Full Comprehensive,Very High,61,119,64.3,123,29.1,534,21,546,7.7,701+,10.4,701+,92,136,43.1,297,79.6,156,46.3,https://www.uam.es/
199,198,University of Calgary,Canada,Extra Large,Full Comprehensive,Very High,37.9,227,44.5,207,18.1,701+,40.3,350,77.7,246,66.2,225,85.2,243,53.3,236,93.3,68,46.3,https://www.ucalgary.ca/
200,200,Arizona State University,United States,Extra Large,Comprehensive,Very High,48.6,165,44.1,209,7.4,701+,47.1,289,52.1,357,37.2,378,95.7,66,23.6,479,96.3,41,46.2,https://www.asu.edu/
201,200,King Saud University,Saudi Arabia,Extra Large,Full Comprehensive,Very High,39.4,216,28.7,332,54.3,281,40,354,99.4,98,15,622,95.1,75,99,17,33,420,46.2,https://ksu.edu.sa/
202,332,American University of Sharjah,United Arab Emirates,Medium,Comprehensive,Very High,20.9,421,38.6,245,19.1,696,23.9,511,100,3,100,8,48.1,701+,48,267,16.5,567,33.6,https://www.aus.edu/
203,203,Université catholique de Louvain (UCLouvain),Belgium,Large,Full Comprehensive,Very High,48.4,168,25.9,367,4.6,701+,55,230,91,186,47.6,306,89.9,169,76.4,135,27.1,471,46,https://uclouvain.be/en/index.html
204,203,University of Minnesota Twin Cities,United States,Extra Large,Full Comprehensive,Very High,56.8,137,33.1,284,32.4,486,41.9,327,7.7,701+,8.7,701+,91.7,145,52.5,241,96.5,37,46,https://twin-cities.umn.edu/
205,205,Ecole des Ponts ParisTech,France,Small,Focused,Very High,8.9,601+,58.5,138,99,38,62.6,186,43.5,404,96.5,84,37.3,701+,59.5,207,10.8,650,45.8,https://www.enpc.fr/en
206,206,Queen's University Belfast,United Kingdom,Large,Full Comprehensive,Very High,35.4,249,33.6,279,28.6,543,40.6,345,100,74,98.2,67,92.8,124,9.9,701+,88.9,103,45.7,https://www.qub.ac.uk/
207,206,Universitas Indonesia,Indonesia,Extra Large,Full Comprehensive,Very High,53.8,148,79.2,79,55.7,268,2.1,701+,88.3,202,7.1,701+,37.2,701+,77.3,131,32.7,424,45.7,https://www.ui.ac.id/en
208,208,The Ohio State University,United States,Extra Large,Full Comprehensive,Very High,58.6,130,50.4,176,39.5,392,31.2,423,13.4,696,10.6,701+,94.6,87,45.3,281,50.8,315,45.6,https://www.osu.edu/
209,209,Tel Aviv University,Israel,Large,Full Comprehensive,Very High,32,275,18.6,474,4.2,701+,99.4,20,39.7,419,7,701+,77.9,362,88.4,85,46.2,334,45.2,https://english.tau.ac.il/
210,210,National Tsing Hua University,Taiwan,Medium,Comprehensive,Very High,54.8,143,71.2,99,28,549,49.6,268,9.5,701+,11.1,695,45,701+,16.3,629,32.1,428,45.1,https://www.nthu.edu.tw/english/
211,211,Indian Institute of Science,India,Small,Specialist,Very High,45.7,181,26.3,362,37.9,419,99.9,11,3.7,701+,1.5,701+,39.1,701+,13.1,701+,23.7,500,45,https://www.iisc.ac.in/
212,212,Albert-Ludwigs-Universitaet Freiburg,Germany,Large,Full Comprehensive,Very High,43.1,198,24.5,394,24.6,597,52.2,248,67.6,290,33.7,401,92.3,131,32.5,391,90,94,44.8,https://www.uni-freiburg.de/?set_languageen
213,213,Queensland University of Technology (QUT),Australia,Extra Large,Comprehensive,Very High,39.8,214,33.1,285,8.1,701+,59.9,202,97.9,122,20.7,530,83.4,274,19,581,89.4,100,44.7,https://www.qut.edu.au/
214,214,University of Otago,New Zealand,Large,Full Comprehensive,Very High,45,187,24.6,388,12.8,701+,38.8,361,100,50,37.6,375,79.5,332,59.1,208,96,48,44.4,https://www.otago.ac.nz/
215,215,National Cheng Kung University (NCKU),Taiwan,Large,Full Comprehensive,Very High,51.5,157,74,90,33.4,472,20.3,554,16.3,646,13.9,642,58.7,648,42.4,306,83.8,131,44.2,https://www.ncku.edu.tw/
216,215,University of Florida,United States,Extra Large,Full Comprehensive,Very High,46.7,172,42.3,220,62.9,220,32.1,411,17.8,630,10.3,701+,98.3,21,44.5,286,60.6,266,44.2,https://www.ufl.edu/
217,217,La Trobe University,Australia,Large,Comprehensive,Very High,23.6,370,19.8,457,8,701+,77.7,123,92.6,172,95,97,78.6,345,19.6,570,78.4,166,44.1,https://www.latrobe.edu.au/
218,218,"University of Maryland, College Park",United States,Extra Large,Full Comprehensive,Very High,48.6,167,29.4,317,32.5,484,55,231,20.9,588,16.2,603,92.3,133,41.2,311,54.4,291,44,https://www.umd.edu/
219,219,National Yang Ming Chiao Tung University,Taiwan,Large,Full Comprehensive,Very High,32.9,267,62.7,128,51.1,300,52.7,245,19.6,607,19.2,564,53.7,701+,58.3,210,38.8,379,43.9,https://www.nycu.edu.tw/en
220,219,Universidad Nacional de Colombia,Colombia,Extra Large,Full Comprehensive,High,71,88,89.9,53,5.4,701+,3.4,701+,5.6,701+,1.4,701+,65.9,543,42.6,302,53.1,298,43.9,https://unal.edu.co/
221,221,Vrije Universiteit Amsterdam,Netherlands,Extra Large,Full Comprehensive,Very High,39.4,217,17.8,494,21.3,650,63.7,179,67.3,293,47.4,310,89,184,45.1,282,50.8,315,43.8,https://www.vu.nl/en
222,222,Eberhard Karls Universität Tübingen,Germany,Large,Full Comprehensive,Very High,46,177,30.7,307,87.1,98,20.5,550,76.1,255,26.2,463,93.8,102,30.9,408,33,420,43.7,https://uni-tuebingen.de/en/
223,222,Indian Institute of Technology Kharagpur (IIT-KGP),India,Large,Focused,Very High,34,257,51.1,173,9,701+,90.2,76,1.1,701+,1.1,701+,69.3,492,33,386,44.3,348,43.7,https://www.iitkgp.ac.in/
224,224,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,Large,Full Comprehensive,Very High,25.8,345,27.7,346,3.2,701+,94.9,50,27.2,516,48.8,300,87.1,213,19.6,568,74.5,193,43.6,https://www.fau.de/en/
225,224,Loughborough University,United Kingdom,Large,Comprehensive,Very High,29.7,299,55.3,151,23.8,613,32.4,406,87.1,212,68.6,216,87.1,214,23.2,488,93.8,64,43.6,https://www.lboro.ac.uk/
226,224,University of Lausanne,Switzerland,Large,Focused,Very High,28.4,310,18.8,471,36.8,435,61,195,100,67,54.2,271,79.8,328,51.8,244,51.2,313,43.6,https://www.unil.ch/
227,227,Indian Institute of Technology Madras (IITM),India,Medium,Comprehensive,Very High,42.4,203,63.2,127,20.3,663,70.3,154,3.9,701+,1.6,701+,37.5,701+,27,444,44.6,343,43.5,https://www.iitm.ac.in/
228,227,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,Large,Full Comprehensive,Very High,52.8,153,24.1,399,62.7,221,17.2,598,44.3,399,38.9,361,94.7,83,35.4,357,83.2,138,43.5,https://www.uni-bonn.de/
229,229,Chulalongkorn University,Thailand,Extra Large,Full Comprehensive,Very High,68.2,97,35.9,261,31.7,499,7.5,701+,18.7,617,3,701+,79.6,331,93.6,60,73.2,198,43.4,https://www.chula.ac.th/en/
230,230,Maastricht University ,Netherlands,Large,Focused,Very High,23,389,27.8,345,13.2,701+,62.8,185,99.4,97,100,20,80.5,312,38.2,337,52.5,302,43,https://www.maastrichtuniversity.nl/
231,230,Universite libre de Bruxelles,Belgium,Extra Large,Full Comprehensive,Very High,33.3,263,34.5,273,3,701+,49.9,263,98.7,110,84.4,155,87.5,203,65.5,179,25.2,490,43,https://www.ulb.be/en
232,232,Universidade Estadual de Campinas (Unicamp),Brazil,Extra Large,Full Comprehensive,Very High,71.8,87,40.3,236,14.7,701+,24.3,506,10.7,701+,2.7,701+,85.4,241,25.1,465,65.9,236,42.9,https://www.unicamp.br/en
233,233,University of Twente,Netherlands,Medium,Comprehensive,Very High,20.7,424,32,294,43.3,362,61.3,193,100,83,90.4,119,87.6,202,20,562,13.8,603,42.7,https://www.utwente.nl/en/
234,234,Technische Universität Dresden,Germany,Large,Full Comprehensive,Very High,36.3,240,42.5,216,80.3,134,28.5,455,35.8,445,27.6,450,93.8,104,8.8,701+,75.8,181,42.6,https://tu-dresden.de/?set_languageen
235,235,University of Waikato,New Zealand,Medium,Comprehensive,Very High,19.1,473,11.7,601+,12.4,701+,84.7,94,99,107,56.9,261,55.1,697,46.4,276,89.5,99,42.5,https://www.waikato.ac.nz/
236,236,Università di Padova,Italy,Extra Large,Full Comprehensive,Very High,58.9,129,27.3,351,8.5,701+,45.7,302,9.2,701+,11.1,694,94.9,79,18.8,590,87.7,110,42.3,https://www.unipd.it/en/
237,236,University of Aberdeen,United Kingdom,Large,Full Comprehensive,Very High,30.5,292,28.8,330,32.7,482,32,412,94.5,154,92.6,103,88.5,190,22.2,519,96.5,37,42.3,https://www.abdn.ac.uk/
238,236,University of Rochester,United States,Medium,Full Comprehensive,Very High,22.6,396,20.8,441,99.1,35,33.6,395,63.9,306,93.8,100,64.3,568,40.4,316,63.7,247,42.3,https://www.rochester.edu/
